Statistic,Year,Make and Model,UNIT,VALUE
New Private Cars Licensed for the First Time,2021,Alfa Romeo Giulietta,Number,10
New Private Cars Licensed for the First Time,2021,Alfa Romeo Giulia,Number,22
New Private Cars Licensed for the First Time,2021,Alfa Romeo Stelvio,Number,7
New Private Cars Licensed for the First Time,2021,Audi TT,Number,6
New Private Cars Licensed for the First Time,2021,Audi A3,Number,792
New Private Cars Licensed for the First Time,2021,Audi A4,Number,587
New Private Cars Licensed for the First Time,2021,Audi A6,Number,567
New Private Cars Licensed for the First Time,2021,Audi A8,Number,18
New Private Cars Licensed for the First Time,2021,Audi Q7,Number,63
New Private Cars Licensed for the First Time,2021,Audi S5,Number,0
New Private Cars Licensed for the First Time,2021,Audi A5,Number,263
New Private Cars Licensed for the First Time,2021,Audi Q5,Number,343
New Private Cars Licensed for the First Time,2021,Audi A1,Number,205
New Private Cars Licensed for the First Time,2021,Audi A7,Number,13
New Private Cars Licensed for the First Time,2021,Audi Q3,Number,557
New Private Cars Licensed for the First Time,2021,Audi Q2,Number,277
New Private Cars Licensed for the First Time,2021,Audi Q8,Number,25
New Private Cars Licensed for the First Time,2021,Audi e-tron,Number,355
New Private Cars Licensed for the First Time,2021,BMW 5 Series,Number,1030
New Private Cars Licensed for the First Time,2021,BMW 7 Series,Number,27
New Private Cars Licensed for the First Time,2021,BMW X5,Number,714
New Private Cars Licensed for the First Time,2021,BMW 6 Series,Number,0
New Private Cars Licensed for the First Time,2021,BMW X3,Number,421
New Private Cars Licensed for the First Time,2021,BMW M5,Number,0
New Private Cars Licensed for the First Time,2021,BMW 8 Series,Number,23
New Private Cars Licensed for the First Time,2021,BMW 3 Series,Number,672
New Private Cars Licensed for the First Time,2021,BMW X1,Number,281
New Private Cars Licensed for the First Time,2021,BMW 1 Series,Number,305
New Private Cars Licensed for the First Time,2021,BMW 4 Series,Number,200
New Private Cars Licensed for the First Time,2021,BMW i3,Number,36
New Private Cars Licensed for the First Time,2021,BMW 2 Series,Number,430
New Private Cars Licensed for the First Time,2021,BMW M4,Number,9
New Private Cars Licensed for the First Time,2021,BMW X4,Number,18
New Private Cars Licensed for the First Time,2021,BMW M2,Number,9
New Private Cars Licensed for the First Time,2021,BMW X2,Number,33
New Private Cars Licensed for the First Time,2021,BMW X7,Number,19
New Private Cars Licensed for the First Time,2021,BMW iX,Number,13
New Private Cars Licensed for the First Time,2021,Citroen C3,Number,137
New Private Cars Licensed for the First Time,2021,Citroen C4,Number,121
New Private Cars Licensed for the First Time,2021,Citroen C1,Number,3
New Private Cars Licensed for the First Time,2021,Citroen DS3,Number,9
New Private Cars Licensed for the First Time,2021,Citroen C4 Cactus,Number,22
New Private Cars Licensed for the First Time,2021,Citroen Grand C4 Spacetourer,Number,66
New Private Cars Licensed for the First Time,2021,Citroen C3 Aircross,Number,97
New Private Cars Licensed for the First Time,2021,Citroen C5 Aircross,Number,336
New Private Cars Licensed for the First Time,2021,Cupra Formentor,Number,146
New Private Cars Licensed for the First Time,2021,Dacia Sandero,Number,980
New Private Cars Licensed for the First Time,2021,Dacia Duster,Number,1097
New Private Cars Licensed for the First Time,2021,Dacia Logan,Number,57
New Private Cars Licensed for the First Time,2021,Fiat Punto,Number,1
New Private Cars Licensed for the First Time,2021,Fiat Tipo,Number,23
New Private Cars Licensed for the First Time,2021,Fiat 500,Number,124
New Private Cars Licensed for the First Time,2021,Fiat Panda,Number,36
New Private Cars Licensed for the First Time,2021,Fiat 500L,Number,9
New Private Cars Licensed for the First Time,2021,Fiat 500X,Number,25
New Private Cars Licensed for the First Time,2021,Ford Fiesta,Number,1085
New Private Cars Licensed for the First Time,2021,Ford Mondeo,Number,426
New Private Cars Licensed for the First Time,2021,Ford Galaxy,Number,19
New Private Cars Licensed for the First Time,2021,Ford Puma,Number,1680
New Private Cars Licensed for the First Time,2021,Ford Ka,Number,0
New Private Cars Licensed for the First Time,2021,Ford Focus,Number,2106
New Private Cars Licensed for the First Time,2021,Ford C-Max,Number,1
New Private Cars Licensed for the First Time,2021,Ford Kuga,Number,1550
New Private Cars Licensed for the First Time,2021,Ford Grand C-Max,Number,1
New Private Cars Licensed for the First Time,2021,Ford Ecosport,Number,33
New Private Cars Licensed for the First Time,2021,Ford Mustang,Number,36
New Private Cars Licensed for the First Time,2021,Ford Edge,Number,0
New Private Cars Licensed for the First Time,2021,Honda Civic,Number,334
New Private Cars Licensed for the First Time,2021,Honda Jazz,Number,99
New Private Cars Licensed for the First Time,2021,Honda CR-V,Number,103
New Private Cars Licensed for the First Time,2021,Honda HR-V,Number,149
New Private Cars Licensed for the First Time,2021,Hyundai Santa Fe,Number,305
New Private Cars Licensed for the First Time,2021,Hyundai Tucson,Number,4948
New Private Cars Licensed for the First Time,2021,Hyundai i30,Number,545
New Private Cars Licensed for the First Time,2021,Hyundai i10,Number,629
New Private Cars Licensed for the First Time,2021,Hyundai i20,Number,1246
New Private Cars Licensed for the First Time,2021,Hyundai ix35,Number,0
New Private Cars Licensed for the First Time,2021,Hyundai ix20,Number,4
New Private Cars Licensed for the First Time,2021,Hyundai i40,Number,0
New Private Cars Licensed for the First Time,2021,Hyundai Ioniq,Number,302
New Private Cars Licensed for the First Time,2021,Hyundai Kona,Number,1863
New Private Cars Licensed for the First Time,2021,Hyundai Bayon,Number,190
New Private Cars Licensed for the First Time,2021,Jaguar XF,Number,30
New Private Cars Licensed for the First Time,2021,Jaguar XE,Number,8
New Private Cars Licensed for the First Time,2021,Jaguar F-Pace,Number,85
New Private Cars Licensed for the First Time,2021,Jaguar E-Pace,Number,5
New Private Cars Licensed for the First Time,2021,Jaguar I-Pace,Number,40
New Private Cars Licensed for the First Time,2021,Jeep Renegade,Number,14
New Private Cars Licensed for the First Time,2021,Jeep Compass,Number,13
New Private Cars Licensed for the First Time,2021,Kia Sportage,Number,1929
New Private Cars Licensed for the First Time,2021,Kia Carens,Number,0
New Private Cars Licensed for the First Time,2021,Kia Rio,Number,347
New Private Cars Licensed for the First Time,2021,Kia Sorento,Number,685
New Private Cars Licensed for the First Time,2021,Kia Picanto,Number,241
New Private Cars Licensed for the First Time,2021,Kia Ceed,Number,533
New Private Cars Licensed for the First Time,2021,Kia Pro_Ceed,Number,61
New Private Cars Licensed for the First Time,2021,Kia Soul,Number,79
New Private Cars Licensed for the First Time,2021,Kia Venga,Number,0
New Private Cars Licensed for the First Time,2021,Kia Optima,Number,2
New Private Cars Licensed for the First Time,2021,Kia Niro,Number,1247
New Private Cars Licensed for the First Time,2021,Kia Stonic,Number,695
New Private Cars Licensed for the First Time,2021,Kia Stinger,Number,0
New Private Cars Licensed for the First Time,2021,Kia XCeed,Number,449
New Private Cars Licensed for the First Time,2021,KIA EV,Number,35
New Private Cars Licensed for the First Time,2021,Landrover Discovery,Number,23
New Private Cars Licensed for the First Time,2021,Landrover Range Rover,Number,35
New Private Cars Licensed for the First Time,2021,Landrover Range Rover Sport,Number,334
New Private Cars Licensed for the First Time,2021,Landrover Discovery Sport,Number,129
New Private Cars Licensed for the First Time,2021,Landrover Range Rover Evoque,Number,228
New Private Cars Licensed for the First Time,2021,Landrover Range Rover Velar,Number,86
New Private Cars Licensed for the First Time,2021,Lexus IS,Number,0
New Private Cars Licensed for the First Time,2021,Lexus GS,Number,0
New Private Cars Licensed for the First Time,2021,Lexus LS,Number,2
New Private Cars Licensed for the First Time,2021,Lexus RX,Number,41
New Private Cars Licensed for the First Time,2021,Lexus CT,Number,1
