Statistic,Month,Taxation Class,UNIT,VALUE
Vehicles Licensed for the First Time,1996M07,New Private Cars,Number,10959
Vehicles Licensed for the First Time,1996M08,New Private Cars,Number,6582
Vehicles Licensed for the First Time,1996M09,New Private Cars,Number,5162
Vehicles Licensed for the First Time,1996M10,New Private Cars,Number,4815
Vehicles Licensed for the First Time,1996M11,New Private Cars,Number,3768
Vehicles Licensed for the First Time,1996M12,New Private Cars,Number,1946
Vehicles Licensed for the First Time,1997M01,New Private Cars,Number,14691
Vehicles Licensed for the First Time,1997M02,New Private Cars,Number,12982
Vehicles Licensed for the First Time,1997M03,New Private Cars,Number,13548
Vehicles Licensed for the First Time,1997M04,New Private Cars,Number,14131
Vehicles Licensed for the First Time,1997M05,New Private Cars,Number,14159
Vehicles Licensed for the First Time,1997M06,New Private Cars,Number,10414
Vehicles Licensed for the First Time,1997M07,New Private Cars,Number,11420
Vehicles Licensed for the First Time,1997M08,New Private Cars,Number,7870
Vehicles Licensed for the First Time,1997M09,New Private Cars,Number,6340
Vehicles Licensed for the First Time,1997M10,New Private Cars,Number,6869
Vehicles Licensed for the First Time,1997M11,New Private Cars,Number,6777
Vehicles Licensed for the First Time,1997M12,New Private Cars,Number,6637
Vehicles Licensed for the First Time,1998M01,New Private Cars,Number,17192
Vehicles Licensed for the First Time,1998M02,New Private Cars,Number,15480
Vehicles Licensed for the First Time,1998M03,New Private Cars,Number,14703
Vehicles Licensed for the First Time,1998M04,New Private Cars,Number,16903
Vehicles Licensed for the First Time,1998M05,New Private Cars,Number,15921
Vehicles Licensed for the First Time,1998M06,New Private Cars,Number,13381
Vehicles Licensed for the First Time,1998M07,New Private Cars,Number,13779
Vehicles Licensed for the First Time,1998M08,New Private Cars,Number,9127
Vehicles Licensed for the First Time,1998M09,New Private Cars,Number,6676
Vehicles Licensed for the First Time,1998M10,New Private Cars,Number,6511
Vehicles Licensed for the First Time,1998M11,New Private Cars,Number,5419
Vehicles Licensed for the First Time,1998M12,New Private Cars,Number,3447
Vehicles Licensed for the First Time,1999M01,New Private Cars,Number,13578
Vehicles Licensed for the First Time,1999M02,New Private Cars,Number,19470
Vehicles Licensed for the First Time,1999M03,New Private Cars,Number,23411
Vehicles Licensed for the First Time,1999M04,New Private Cars,Number,18190
Vehicles Licensed for the First Time,1999M05,New Private Cars,Number,18979
Vehicles Licensed for the First Time,1999M06,New Private Cars,Number,17296
Vehicles Licensed for the First Time,1999M07,New Private Cars,Number,16588
Vehicles Licensed for the First Time,1999M08,New Private Cars,Number,12561
Vehicles Licensed for the First Time,1999M09,New Private Cars,Number,10405
Vehicles Licensed for the First Time,1999M10,New Private Cars,Number,8537
Vehicles Licensed for the First Time,1999M11,New Private Cars,Number,7304
Vehicles Licensed for the First Time,1999M12,New Private Cars,Number,4003
Vehicles Licensed for the First Time,2000M01,New Private Cars,Number,20100
Vehicles Licensed for the First Time,2000M02,New Private Cars,Number,29419
Vehicles Licensed for the First Time,2000M03,New Private Cars,Number,30125
Vehicles Licensed for the First Time,2000M04,New Private Cars,Number,27147
Vehicles Licensed for the First Time,2000M05,New Private Cars,Number,27832
Vehicles Licensed for the First Time,2000M06,New Private Cars,Number,23874
Vehicles Licensed for the First Time,2000M07,New Private Cars,Number,19728
Vehicles Licensed for the First Time,2000M08,New Private Cars,Number,15847
Vehicles Licensed for the First Time,2000M09,New Private Cars,Number,11477
Vehicles Licensed for the First Time,2000M10,New Private Cars,Number,9301
Vehicles Licensed for the First Time,2000M11,New Private Cars,Number,6933
Vehicles Licensed for the First Time,2000M12,New Private Cars,Number,3486
Vehicles Licensed for the First Time,2001M01,New Private Cars,Number,16528
Vehicles Licensed for the First Time,2001M02,New Private Cars,Number,22258
Vehicles Licensed for the First Time,2001M03,New Private Cars,Number,22146
Vehicles Licensed for the First Time,2001M04,New Private Cars,Number,19027
Vehicles Licensed for the First Time,2001M05,New Private Cars,Number,19436
Vehicles Licensed for the First Time,2001M06,New Private Cars,Number,15688
Vehicles Licensed for the First Time,2001M07,New Private Cars,Number,14558
Vehicles Licensed for the First Time,2001M08,New Private Cars,Number,10609
Vehicles Licensed for the First Time,2001M09,New Private Cars,Number,6799
Vehicles Licensed for the First Time,2001M10,New Private Cars,Number,6563
Vehicles Licensed for the First Time,2001M11,New Private Cars,Number,4816
Vehicles Licensed for the First Time,2001M12,New Private Cars,Number,2480
Vehicles Licensed for the First Time,2002M01,New Private Cars,Number,14724
Vehicles Licensed for the First Time,2002M02,New Private Cars,Number,19424
Vehicles Licensed for the First Time,2002M03,New Private Cars,Number,21391
Vehicles Licensed for the First Time,2002M04,New Private Cars,Number,17215
Vehicles Licensed for the First Time,2002M05,New Private Cars,Number,18775
Vehicles Licensed for the First Time,2002M06,New Private Cars,Number,13017
Vehicles Licensed for the First Time,2002M07,New Private Cars,Number,14385
Vehicles Licensed for the First Time,2002M08,New Private Cars,Number,10044
Vehicles Licensed for the First Time,2002M09,New Private Cars,Number,7649
Vehicles Licensed for the First Time,2002M10,New Private Cars,Number,6598
Vehicles Licensed for the First Time,2002M11,New Private Cars,Number,4497
Vehicles Licensed for the First Time,2002M12,New Private Cars,Number,2766
Vehicles Licensed for the First Time,2003M01,New Private Cars,Number,17051
Vehicles Licensed for the First Time,2003M02,New Private Cars,Number,20182
Vehicles Licensed for the First Time,2003M03,New Private Cars,Number,18564
Vehicles Licensed for the First Time,2003M04,New Private Cars,Number,18484
Vehicles Licensed for the First Time,2003M05,New Private Cars,Number,15365
Vehicles Licensed for the First Time,2003M06,New Private Cars,Number,12180
Vehicles Licensed for the First Time,2003M07,New Private Cars,Number,13313
Vehicles Licensed for the First Time,2003M08,New Private Cars,Number,8859
Vehicles Licensed for the First Time,2003M09,New Private Cars,Number,6830
Vehicles Licensed for the First Time,2003M10,New Private Cars,Number,6371
Vehicles Licensed for the First Time,2003M11,New Private Cars,Number,3781
Vehicles Licensed for the First Time,2003M12,New Private Cars,Number,2012
Vehicles Licensed for the First Time,2004M01,New Private Cars,Number,16875
Vehicles Licensed for the First Time,2004M02,New Private Cars,Number,20084
Vehicles Licensed for the First Time,2004M03,New Private Cars,Number,21150
Vehicles Licensed for the First Time,2004M04,New Private Cars,Number,19057
Vehicles Licensed for the First Time,2004M05,New Private Cars,Number,16153
Vehicles Licensed for the First Time,2004M06,New Private Cars,Number,13619
Vehicles Licensed for the First Time,2004M07,New Private Cars,Number,14144
Vehicles Licensed for the First Time,2004M08,New Private Cars,Number,9599
Vehicles Licensed for the First Time,2004M09,New Private Cars,Number,7390
Vehicles Licensed for the First Time,2004M10,New Private Cars,Number,5830
Vehicles Licensed for the First Time,2004M11,New Private Cars,Number,3763
Vehicles Licensed for the First Time,2004M12,New Private Cars,Number,2033
Vehicles Licensed for the First Time,2005M01,New Private Cars,Number,20002
Vehicles Licensed for the First Time,2005M02,New Private Cars,Number,24153
Vehicles Licensed for the First Time,2005M03,New Private Cars,Number,23160
Vehicles Licensed for the First Time,2005M04,New Private Cars,Number,20864
Vehicles Licensed for the First Time,2005M05,New Private Cars,Number,18331
Vehicles Licensed for the First Time,2005M06,New Private Cars,Number,14950
Vehicles Licensed for the First Time,2005M07,New Private Cars,Number,14149
Vehicles Licensed for the First Time,2005M08,New Private Cars,Number,11086
Vehicles Licensed for the First Time,2005M09,New Private Cars,Number,7475
Vehicles Licensed for the First Time,2005M10,New Private Cars,Number,6290
Vehicles Licensed for the First Time,2005M11,New Private Cars,Number,3779
Vehicles Licensed for the First Time,2005M12,New Private Cars,Number,2134
Vehicles Licensed for the First Time,2006M01,New Private Cars,Number,24605
Vehicles Licensed for the First Time,2006M02,New Private Cars,Number,26384
Vehicles Licensed for the First Time,2006M03,New Private Cars,Number,24858
Vehicles Licensed for the First Time,2006M04,New Private Cars,Number,20634
Vehicles Licensed for the First Time,2006M05,New Private Cars,Number,18951
Vehicles Licensed for the First Time,2006M06,New Private Cars,Number,15048
Vehicles Licensed for the First Time,2006M07,New Private Cars,Number,14905
Vehicles Licensed for the First Time,2006M08,New Private Cars,Number,10749
Vehicles Licensed for the First Time,2006M09,New Private Cars,Number,7259
Vehicles Licensed for the First Time,2006M10,New Private Cars,Number,5479
Vehicles Licensed for the First Time,2006M11,New Private Cars,Number,3074
Vehicles Licensed for the First Time,2006M12,New Private Cars,Number,1509
Vehicles Licensed for the First Time,2007M01,New Private Cars,Number,29281
Vehicles Licensed for the First Time,2007M02,New Private Cars,Number,26495
Vehicles Licensed for the First Time,2007M03,New Private Cars,Number,25974
Vehicles Licensed for the First Time,2007M04,New Private Cars,Number,21427
Vehicles Licensed for the First Time,2007M05,New Private Cars,Number,20232
Vehicles Licensed for the First Time,2007M06,New Private Cars,Number,15465
Vehicles Licensed for the First Time,2007M07,New Private Cars,Number,15738
Vehicles Licensed for the First Time,2007M08,New Private Cars,Number,10006
Vehicles Licensed for the First Time,2007M09,New Private Cars,Number,6674
Vehicles Licensed for the First Time,2007M10,New Private Cars,Number,5301
Vehicles Licensed for the First Time,2007M11,New Private Cars,Number,2857
Vehicles Licensed for the First Time,2007M12,New Private Cars,Number,1304
Vehicles Licensed for the First Time,2008M01,New Private Cars,Number,32961
Vehicles Licensed for the First Time,2008M02,New Private Cars,Number,24290
Vehicles Licensed for the First Time,2008M03,New Private Cars,Number,20190
Vehicles Licensed for the First Time,2008M04,New Private Cars,Number,17587
Vehicles Licensed for the First Time,2008M05,New Private Cars,Number,12172
Vehicles Licensed for the First Time,2008M06,New Private Cars,Number,7369
Vehicles Licensed for the First Time,2008M07,New Private Cars,Number,16175
Vehicles Licensed for the First Time,2008M08,New Private Cars,Number,6822
Vehicles Licensed for the First Time,2008M09,New Private Cars,Number,4364
Vehicles Licensed for the First Time,2008M10,New Private Cars,Number,2699
Vehicles Licensed for the First Time,2008M11,New Private Cars,Number,1174
Vehicles Licensed for the First Time,2008M12,New Private Cars,Number,667
Vehicles Licensed for the First Time,2009M01,New Private Cars,Number,10996
Vehicles Licensed for the First Time,2009M02,New Private Cars,Number,8793
Vehicles Licensed for the First Time,2009M03,New Private Cars,Number,7345
Vehicles Licensed for the First Time,2009M04,New Private Cars,Number,5558
Vehicles Licensed for the First Time,2009M05,New Private Cars,Number,4840
Vehicles Licensed for the First Time,2009M06,New Private Cars,Number,4833
Vehicles Licensed for the First Time,2009M07,New Private Cars,Number,4355
Vehicles Licensed for the First Time,2009M08,New Private Cars,Number,2422
Vehicles Licensed for the First Time,2009M09,New Private Cars,Number,2272
Vehicles Licensed for the First Time,2009M10,New Private Cars,Number,1596
Vehicles Licensed for the First Time,2009M11,New Private Cars,Number,948
Vehicles Licensed for the First Time,2009M12,New Private Cars,Number,474
Vehicles Licensed for the First Time,2010M01,New Private Cars,Number,10469
Vehicles Licensed for the First Time,2010M02,New Private Cars,Number,11707
Vehicles Licensed for the First Time,2010M03,New Private Cars,Number,12379
Vehicles Licensed for the First Time,2010M04,New Private Cars,Number,9599
Vehicles Licensed for the First Time,2010M05,New Private Cars,Number,8893
Vehicles Licensed for the First Time,2010M06,New Private Cars,Number,8314
Vehicles Licensed for the First Time,2010M07,New Private Cars,Number,7018
Vehicles Licensed for the First Time,2010M08,New Private Cars,Number,5310
Vehicles Licensed for the First Time,2010M09,New Private Cars,Number,4683
Vehicles Licensed for the First Time,2010M10,New Private Cars,Number,3742
Vehicles Licensed for the First Time,2010M11,New Private Cars,Number,2146
Vehicles Licensed for the First Time,2010M12,New Private Cars,Number,647
Vehicles Licensed for the First Time,2011M01,New Private Cars,Number,13624
Vehicles Licensed for the First Time,2011M02,New Private Cars,Number,13470
Vehicles Licensed for the First Time,2011M03,New Private Cars,Number,12390
Vehicles Licensed for the First Time,2011M04,New Private Cars,Number,11171
Vehicles Licensed for the First Time,2011M05,New Private Cars,Number,9359
Vehicles Licensed for the First Time,2011M06,New Private Cars,Number,9240
Vehicles Licensed for the First Time,2011M07,New Private Cars,Number,6953
Vehicles Licensed for the First Time,2011M08,New Private Cars,Number,3653
Vehicles Licensed for the First Time,2011M09,New Private Cars,Number,2861
Vehicles Licensed for the First Time,2011M10,New Private Cars,Number,2216
Vehicles Licensed for the First Time,2011M11,New Private Cars,Number,1398
Vehicles Licensed for the First Time,2011M12,New Private Cars,Number,597
Vehicles Licensed for the First Time,2012M01,New Private Cars,Number,14507
Vehicles Licensed for the First Time,2012M02,New Private Cars,Number,10993
Vehicles Licensed for the First Time,2012M03,New Private Cars,Number,10581
Vehicles Licensed for the First Time,2012M04,New Private Cars,Number,9388
Vehicles Licensed for the First Time,2012M05,New Private Cars,Number,7986
Vehicles Licensed for the First Time,2012M06,New Private Cars,Number,5481
Vehicles Licensed for the First Time,2012M07,New Private Cars,Number,6164
Vehicles Licensed for the First Time,2012M08,New Private Cars,Number,3736
Vehicles Licensed for the First Time,2012M09,New Private Cars,Number,2783
Vehicles Licensed for the First Time,2012M10,New Private Cars,Number,2442
Vehicles Licensed for the First Time,2012M11,New Private Cars,Number,1421
Vehicles Licensed for the First Time,2012M12,New Private Cars,Number,774
Vehicles Licensed for the First Time,2013M01,New Private Cars,Number,10735
Vehicles Licensed for the First Time,2013M02,New Private Cars,Number,9671
Vehicles Licensed for the First Time,2013M03,New Private Cars,Number,10596
Vehicles Licensed for the First Time,2013M04,New Private Cars,Number,8113
Vehicles Licensed for the First Time,2013M05,New Private Cars,Number,7095
Vehicles Licensed for the First Time,2013M06,New Private Cars,Number,3293
Vehicles Licensed for the First Time,2013M07,New Private Cars,Number,9306
Vehicles Licensed for the First Time,2013M08,New Private Cars,Number,4504
Vehicles Licensed for the First Time,2013M09,New Private Cars,Number,3257
Vehicles Licensed for the First Time,2013M10,New Private Cars,Number,2832
Vehicles Licensed for the First Time,2013M11,New Private Cars,Number,1307
Vehicles Licensed for the First Time,2013M12,New Private Cars,Number,639
Vehicles Licensed for the First Time,2014M01,New Private Cars,Number,15975
Vehicles Licensed for the First Time,2014M02,New Private Cars,Number,11906
Vehicles Licensed for the First Time,2014M03,New Private Cars,Number,11485
Vehicles Licensed for the First Time,2014M04,New Private Cars,Number,11757
Vehicles Licensed for the First Time,2014M05,New Private Cars,Number,7767
Vehicles Licensed for the First Time,2014M06,New Private Cars,Number,3390
Vehicles Licensed for the First Time,2014M07,New Private Cars,Number,14037
Vehicles Licensed for the First Time,2014M08,New Private Cars,Number,6201
Vehicles Licensed for the First Time,2014M09,New Private Cars,Number,4376
Vehicles Licensed for the First Time,2014M10,New Private Cars,Number,3082
Vehicles Licensed for the First Time,2014M11,New Private Cars,Number,1465
Vehicles Licensed for the First Time,2014M12,New Private Cars,Number,920
Vehicles Licensed for the First Time,2015M01,New Private Cars,Number,20105
Vehicles Licensed for the First Time,2015M02,New Private Cars,Number,15384
Vehicles Licensed for the First Time,2015M03,New Private Cars,Number,17054
Vehicles Licensed for the First Time,2015M04,New Private Cars,Number,13166
Vehicles Licensed for the First Time,2015M05,New Private Cars,Number,9027
Vehicles Licensed for the First Time,2015M06,New Private Cars,Number,3924
Vehicles Licensed for the First Time,2015M07,New Private Cars,Number,21290
Vehicles Licensed for the First Time,2015M08,New Private Cars,Number,8572
Vehicles Licensed for the First Time,2015M09,New Private Cars,Number,5924
Vehicles Licensed for the First Time,2015M10,New Private Cars,Number,3943
Vehicles Licensed for the First Time,2015M11,New Private Cars,Number,1874
Vehicles Licensed for the First Time,2015M12,New Private Cars,Number,847
Vehicles Licensed for the First Time,2016M01,New Private Cars,Number,27106
Vehicles Licensed for the First Time,2016M02,New Private Cars,Number,21173
Vehicles Licensed for the First Time,2016M03,New Private Cars,Number,20096
Vehicles Licensed for the First Time,2016M04,New Private Cars,Number,14847
Vehicles Licensed for the First Time,2016M05,New Private Cars,Number,10125
Vehicles Licensed for the First Time,2016M06,New Private Cars,Number,4143
Vehicles Licensed for the First Time,2016M07,New Private Cars,Number,22462
Vehicles Licensed for the First Time,2016M08,New Private Cars,Number,9781
Vehicles Licensed for the First Time,2016M09,New Private Cars,Number,5842
